source	chr	start	end	type	description
Betancur Table 1	1	46654352	46685977		Muscle-eye-brain disease; POMGNT1
Betancur Table 1	1	68894506	68915642		Leber congenital amaurosis; RPE65
Betancur Table 1	1	97543299	98386615		Dihydropyrimidine dehydrogenase deficiency; DPYD
Betancur Table 1	2	50145642	51259674		disrupted in ASD, MR, schizophrenia (autosomal dominant?); Pitt-Hopkins-like syndrome-2 (autosomal recessive); NRXN1
Betancur Table 1	2	110880913	110962639		Joubert syndrome type 4, nephronophthisis; NPHP1
Betancur Table 1	2	148778579	149271044		autosomal dominant MR, responsible for the 2q23.1 microdeletion syndrome; MBD5
Betancur Table 1	2	166845669	167005642		severe myoclonic epilepsy of infancy (Dravet syndrome); SCN1A
Betancur Table 1	2	200134222	200335989		Happloinsufficiency of SATB2 causes some of the clinical features of the 2q33.1 microdeletion syndrome; SATB2
Betancur Table 1	3	15643254	15687325		Biotinidase deficiency; BTD
Betancur Table 1	3	71003864	71633140		non-syndromic MR and autism; FOXP1
Betancur Table 1	4	119201192	119273922		autosomal recessive non-syndromic MR; PRSS12
Betancur Table 1	5	36876860	37065921		Cornelia de Lange syndrome; NIPBL
Betancur Table 1	5	88014057	88199922	DEL	syndromic MR, responsible for the 5q14.3 microdeletion syndrome; MEF2C
Betancur Table 1	5	125877532	125931082		Pyridoxine-dependent epilepsy; ALDH7A1
Betancur Table 1	5	176560079	176727214		Sotos syndrome; NSD1
Betancur Table 1	6	24495196	24537435		Succinic semialdehyde dehydrogenase deficiency (gamma-hydroxybutyric aciduria); ALDH5A1
Betancur Table 1	6	33387846	33421466		non-syndromic MR; SYNGAP1
Betancur Table 1	6	135605109	135818903		Joubert syndrome 3; AHI1
Betancur Table 1	7	27132613	27135625		HOXA1 syndrome, Bosley-Salih-Alorainy variant; HOXA1
Betancur Table 1	7	140433812	140624564		Cardio-facio-cutaneous syndrome; BRAF
Betancur Table 1	7	145813452	148118088		Cortical dysplasia-focal epilepsy syndrome, Pitt-Hopkins-like syndrome-1 (autosomal recessive); the clinical significance of the disruption of 1 allele is unknown; CNTNAP2
Betancur Table 1	8	42995591	43057970		Mucopolysaccharidosis type IIIC (Sanfilippo syndrome C); HGSNAT
Betancur Table 1	8	61591323	61780586		CHARGE syndrome; CHD7
Betancur Table 1	8	100025493	100889814		Cohen syndrome; VPS13B
Betancur Table 1	9	130374485	130454995		autosomal dominant non-syndromic epilepsy, MR and autism; STXBP1
Betancur Table 1	9	134378288	134399193		Limb-girdle muscular dystrophy with MR; Walker-Warburg syndrome; POMT1
Betancur Table 1	9	135766734	135820020		Tuberous sclerosis; TSC1
Betancur Table 1	9	140513443	140730578		EHMT1 is responsible for the core phenotype of the 9q subtelomeric deletion syndrome (Kleefstra syndrome); EHMT1
Betancur Table 1	10	89623194	89728532		PTEN hamartoma-tumor syndrome, MR and ASD with macrocephaly; PTEN
Betancur Table 1	10	123237843	123357972		Apert syndrome; FGFR2
Betancur Table 1	11	532241	535550		Costello syndrome; HRAS
Betancur Table 1	11	2150346	2170833		Aberrant imprinting of IGF2 is associated with BeckwithWiedermann syndrome and SilverRussell syndrome; IGF2
Betancur Table 1	11	17406795	17410878		DEND syndrome (developmental delay, epilepsy, and neonatal diabetes); KCNJ11
Betancur Table 1	11	70313960	70935808		non-syndromic MR and ASD; SHANK2
Betancur Table 1	11	71145456	71159477		Smith-Lemli-Opitz syndrome; DHCR7
Betancur Table 1	11	71900601	71907367		Cerebral folate transport deficiency; FOLR1 
Betancur Table 1	12	2162415	2807115		Timothy syndrome; CACNA1C
Betancur Table 1	12	25358179	25403854		Cardio-facio-cutaneous syndrome; KRAS
Betancur Table 1	12	65107221	65153226		Mucopolysaccharidosis type IIID (Sanfilippo disease D); GNS
Betancur Table 1	12	88442789	88535993		Joubert syndrome 5, Leber congenital amaurosis, Bardet-Biedl syndrome 14, Meckel syndrome 4; CEP290 (NPHP6)
Betancur Table 1	12	103232103	103311381		Phenylketonuria; PAH
Betancur Table 1	12	112856535	112947717		Noonan syndrome; PTPN11
Betancur Table 1	14	29236277	29239483		congenital variant of Rett syndrome; FOXG1
Betancur Table 1	14	50709151	50778947		L-2-hydroxyglutaric aciduria; L2HGDH
Betancur Table 1	15	25582395	25684175		Angelman syndrome; UBE3A
Betancur Table 1	15	45653321	45670980		Arginine:glycine amidinotransferase (AGAT) deficiency; GATM (AGAT)
Betancur Table 1	15	66679210	66783882		Cardio-facio-cutaneous syndrome; MAP2K1 (MEK1)
Betancur Table 1	16	2097989	2138713		Tuberous sclerosis; TSC2
Betancur Table 1	16	3775055	3930121		Rubinstein-Taybi syndrome; CREBBP
Betancur Table 1	16	53633817	53737771		Joubert syndrome 7, Meckel syndrome, COACH syndrome; RPGRIP1L
Betancur Table 1	17	1247833	1303556		Miller-Dieker syndrome; YWHAE
Betancur Table 1	17	2496922	2588909		isolated lissencephaly, Miller-Dieker syndrome; PAFAH1B1 (LIS1)
Betancur Table 1	17	7905987	7923658		Leber congenital amaurosis; GUCY2D
Betancur Table 1	17	17584786	17714765	DEL/DUP	Smith-Magenis syndrome (deletion, mutation), Potocki-Lupski syndrome (duplication); RAI1
Betancur Table 1	17	29297955	29326929		overgrowth syndrome; haploinsufficiency of RNF135 contributes to the phenotype of the NF1 microdeletion syndrome; RNF135
Betancur Table 1	17	29421944	29704695		Neurofibromatosis type 1; NF1
Betancur Table 1	17	40687950	40696466		Mucopolysaccharidosis type IIIB (Sanfilippo syndrome B); NAGLU
Betancur Table 1	17	78183078	78194199		Sanfilippo syndrome A (mucopolysaccharidosis III A); SGSH
Betancur Table 1	19	1397024	1401569		guanidine acetate methyltransferase (GAMT) deficiency; GAMT
Betancur Table 1	19	13106583	13209610		Sotos-like overgrowth syndrome, Marshall-Smith syndrome; NFIX
Betancur Table 1	19	46272975	46285815		Myotonic dystrophy type 1 (Steinert disease); DMPK
Betancur Table 1	20	10385427	10414887		Bardet-Biedl syndrome; MKKS
Betancur Table 1	22	19744225	19771112		responsible for some of the phenotypic features of the 22q11 deletion syndrome (velocardiofacial/DiGeorge syndrome) ; TBX1
Betancur Table 1	22	40742503	40762575		adenylosuccinate lyase deficiency; ADSL
Betancur Table 1	22	51113069	51171640		22q13 deletion syndrome (Phelan-McDermid syndrome); SHANK3
Betancur Table 1	X	5808082	6146706		non-syndromic X-linked MR and ASD; NLGN4X
Betancur Table 1	X	10413349	10851809		Opitz syndrome (Opitz/BBB syndrome); MID1
Betancur Table 1	X	15843928	15873100		syndromic and non-syndromic X-linked MR; AP1S2
Betancur Table 1	X	17393542	17754113		Nance-Horan syndrome; NHS
Betancur Table 1	X	18443724	18671749		Rett-like syndrome with infantile spasms; CDKL5
Betancur Table 1	X	23352984	23414918		non-syndromic X-linked MR and ASD; PTCHD1
Betancur Table 1	X	25021812	25034065		X-linked lissencephaly and abnormal genitalia, West syndrome, Partington syndrome, non-syndromic X-linked MR; ARX
Betancur Table 1	X	28605680	29974017		non-syndromic X-linked MR and ASD; IL1RAPL1
Betancur Table 1	X	31137344	33357726		Muscular dystrophy, Duchenne and Becker types; DMD
Betancur Table 1	X	38211735	38280703		Ornithine transcarbamylase deficiency; OTC
Betancur Table 1	X	41374188	41782287		syndromic and non-syndromic X-linked MR; CASK
Betancur Table 1	X	43808023	43832921		Norrie disease; NDP
Betancur Table 1	X	46357159	46404892		non-syndromic X-linked MR; ZNF674
Betancur Table 1	X	47431299	47479256		X-linked epilepsy and MR; SYN1
Betancur Table 1	X	47696300	47781655		non-syndromic X-linked MR; ZNF81
Betancur Table 1	X	48334548	48344752		non-syndromic X-linked MR; FTSJ1
Betancur Table 1	X	48755194	48760422		Renpenning syndrome, non-syndromic MR; PQBP1
Betancur Table 1	X	49061522	49089833		X-linked incomplete congenital stationary night blindness, severe form; CACNA1F
Betancur Table 1	X	53220502	53254604		syndromic and non-syndromic X-linked MR; JARID1C
Betancur Table 1	X	53262057	53350522		non-syndromic X-linked MR; IQSEC2
Betancur Table 1	X	53401069	53449618		Cornelia de Lange syndrome; SMC1A
Betancur Table 1	X	53963112	54071569		Siderius-Hamel syndrome; PHF8
Betancur Table 1	X	54471886	54522599		Aarskog-Scott syndrome, non-syndromic X-linked MR; FGD1
Betancur Table 1	X	67262185	67653299		MR with cerebellar and vermis hypoplasia; OPHN1
